Aggrandizement,RaceEuphemisms,RaceTerms,SlaveryTerms,GenderTerms,LGBTQ,MentalIllness,Disability
acclaimed,color blind,aboriginal,abolition,matriarch,biologically female,crazy,able-bodied
ambitious,colored,aboriginals,abolitionist,miss,biologically male,dumb,confined to a wheelchair
celebrated,coloured,aborigines,antislavery,mistress,dyke,insane,cripple
distinguished,negro,aliens,anti-slavery,mrs.,fag,retarded,crippled
eminent,race relations,arab,bill of sale,muse,gay lifestyle,special needs,deaf-mute
esteemed,race situation,arabs,bills of sale,patriarch,homosexual,stupid,deformed
expert,race-based,asians,enslaved,spouse,homosexuality,slow learner,dwarf
famous,racial,asiatic,freed slave,wife,lesbianism,brain damaged,handicap
father of,racism,blacks,freed slaves,,sexual preference,committed suicide,handicapped
foremost,riot,bushman,freedman,,tranny,emotionally disturbed,invalid
founding father,troubles,bushmen,hired out,,transvestite,,lame
genius,unruly,bushwoman,hiring out,,,,midget
gentleman,,chink,freedmen,,,,physically challenged
important,,civilized,manumission,,,,the deaf
influential,,coolie,manumitted,,,,the disabled
man of letters,,coolies,negro,,,,wheelchair-bound
masterpiece,,creole,overseer,,,,disabled person
notable,,creoles,plantation,,,,paraplegic
patriot,,ethnic,planter,,,,birth defect
pioneer,,exotic,runaway slave,,,,epileptic
plantation owner,,gook,runaway slaves,,,,
planter,,gypsies,slave,,,,
preeminent,,gypsy,slave holder,,,,
prestigious,,hispanics,slave master,,,,
prolific,,illegal alien,slave owner,,,,
prominent,,illegal aliens,slave owner,,,,
renowned,,illegal immigrant,slaveholder,,,,
respected,,illegal immigrants,slavery,,,,
revolutionary,,illegals,slaves,,,,
seminal,,indian,,,,,
successful,,indians,,,,,
wealthy,,japs,,,,,
,,mammy,,,,,
,,mulatto,,,,,
,,mulattoes,,,,,
,,mulattos,,,,,
,,native americans,,,,,
,,natives,,,,,
,,negro,,,,,
,,negroes,,,,,
,,negros,,,,,
,,oriental,,,,,
,,primitive people,,,,,
,,primitives,,,,,
,,pygmies,,,,,
,,pygmy,,,,,
,,sambo,,,,,
,,savages,,,,,
,,segregated,,,,,
,,squaw,,,,,
,,squaws,,,,,
,,uncivilized,,,,,
