Aggrandizement,RaceEuphemisms,RaceTerms,SlaveryTerms,GenderTerms,LGBTQ,MentalIllness,Disability
acclaimed,color blind,aboriginal,abolition,matriarch,biologically female,crazy,able-bodied
ambitious,colored,aboriginals,abolitionist,miss,biologically male,dumb,confined to a wheelchair
celebrated,coloured,aborigines,antislavery,mistress,dyke,insane,cripple
distinguished,negro,aliens,anti-slavery,mrs.,fag,retarded,crippled
eminent,race relations,arab,bill of sale,muse,gay lifestyle,special needs,deaf-mute
esteemed,race situation,arabs,bills of sale,patriarch,homosexual,stupid,deformed
expert,race-based,asians,enslaved,spouse,homosexuality,slow learner,dwarf
father of,racial,asiatic,freed slave,wife,lesbianism,brain damaged,handicap
foremost,racism,blacks,freed slaves,,sexual preference,committed suicide,handicapped
founding father,riot,bushman,freedman,,tranny,emotionally disturbed,invalid
genius,troubles,bushmen,freedmen,,transvestite,,lame
gentleman,unruly,bushwoman,manumission,,,,midget
important,,chink,manumitted,,,,physically challenged
influential,,civilized,negro,,,,the deaf
man of letters,,coolie,overseer,,,,the disabled
masterpiece,,coolies,plantation,,,,wheelchair-bound
notable,,creole,planter,,,,disabled person
pioneer,,creoles,runaway slave,,,,paraplegic
plantation owner,,ethnic,runaway slaves,,,,birth defect
planter,,exotic,slave,,,,epileptic
preeminent,,gook,slave holder,,,,
prestigious,,gypsies,slave master,,,,
prolific,,gypsy,slave owner,,,,
prominent,,hispanics,slave owner,,,,
renowned,,illegal alien,slaveholder,,,,
respected,,illegal aliens,slavery,,,,
revolutionary,,illegal immigrant,slaves,,,,
seminal,,illegal immigrants,,,,,
successful,,illegals,,,,,
wealthy,,indian,,,,,
,,indians,,,,,
,,japs,,,,,
,,mammy,,,,,
,,mulatto,,,,,
,,mulattoes,,,,,
,,mulattos,,,,,
,,native americans,,,,,
,,natives,,,,,
,,negro,,,,,
,,negroes,,,,,
,,negros,,,,,
,,oriental,,,,,
,,primitive people,,,,,
,,primitives,,,,,
,,pygmies,,,,,
,,pygmy,,,,,
,,sambo,,,,,
,,savages,,,,,
,,squaw,,,,,
,,squaws,,,,,
,,uncivilized,,,,,
