eadid,bibnumber,collection_title,match_type,match_term,context_snippet,match_rule
25under25,004624351,25 Under 25 photographs,title,Miss,"of               Self Isabelle Lutterodt, Residue Colby Katz, Miss All-Star Brett Myers, Abe Laurel Nakadate,",GenderTerms
abbot,002878457,Abbot Family papers,notes,wife,"Abbot, headmaster of Bellevue High School, and his wife, Lucy Minor Abbot. Abbot's letters mention battles",GenderTerms
abbot,002878457,Abbot Family papers,notes,wife,"Correspondence Series includes William Abbot's personal letters to his wife and family, as well as several from his mother",GenderTerms
abbot,002878457,Abbot Family papers,notes,prominent,"High School (1870-1909). Founded by prominent educator and lawyer J.P. Holcombe in 1866, this institution",Aggrandizement
abbot,002878457,Abbot Family papers,notes,important,"lawyer J.P. Holcombe in 1866, this institution was an important preparatory school for the University of Virginia. A series",Aggrandizement
abbot,002878457,Abbot Family papers,notes,prominent,"of James Southall (married Jane Oliver Abbot), prominent physicist at the University of Columbia; personal and business",Aggrandizement
abbot,002878457,Abbot Family papers,notes,pioneer,"Henderson (daughter of Daniel and Lucy Henderson), pioneer in the post-war nursing profession and coauthor of",Aggrandizement
abbot,002878457,Abbot Family papers,notes,prominent,"early-nineteenth century exchanged between Dr. Charles Minor, prominent educator in Virginia, and his brother John Minor,",Aggrandizement
abbot,002878457,Abbot Family papers,notes,racial,letter to W.R. Abbot from a student describing inter-racial violence in Mississippi. A letter-book in William,RaceEuphemisms
abbot,002878457,Abbot Family papers,notes,slave,Virginian novelist Thomas Nelson Page's childhood recollection of a slave-auction; reports of speeches by W.R. Abbot;,SlaveryTerms
achenbaumalvin,005638697,Alvin A. Achenbaum papers,title,Revolutionary,"Again, 2007 Opportunities in the New Millennium, 1999 Revolutionary Research for a Revolutionary Age, 2001 Surviving and Thriving",Aggrandizement
achenbaumalvin,005638697,Alvin A. Achenbaum papers,title,Revolutionary,"in the New Millennium, 1999 Revolutionary Research for a Revolutionary Age, 2001 Surviving and Thriving in the New Economic",Aggrandizement
