eadid,bibnumber,collection_title,match_type,match_term,context_snippet,match_rule
25under25,004624351,25 Under 25 photographs,title,Miss,"of               Self Isabelle Lutterodt, Residue Colby Katz, Miss All-Star Brett Myers, Abe Laurel Nakadate,",GenderTerms
abbot,002878457,Abbot Family papers,notes,wife,"Abbot, headmaster of Bellevue High School, and his wife, Lucy Minor Abbot. Abbot's letters mention battles",GenderTerms
abbot,002878457,Abbot Family papers,notes,wife,"Correspondence Series includes William Abbot's personal letters to his wife and family, as well as several from his mother",GenderTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,spouse,a woman's former husband Support for dependent children/spouse Unlawful search and seizure Discrimination against 3rd parties Assault on,GenderTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,wife,"Subseries, 1970s-1980s Case Files Loss of personal property for wife upon marriage Fired without justification Libel and slander Denied requests",GenderTerms
adlerleon,006221935,Leon S. Adler papers,notes,wife,"Adler Company business matters, and his pride in his wife's operation of the store during his absence. Once",GenderTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,notes,Miss,'s Food; Hulman Crystal Coffee; Minneapolis Garments (Miss Minneapolis); Morton Salt (Umbrella Girl);,GenderTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,notes,Miss,(Umbrella Girl); Munsingwear (Munsingwear Family; Miss Molly Munsing) Includes Nahn Bakery (Animals);,GenderTerms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,wife,"Vietnam veteran returning home to New York to a dead wife, the victim of a drug overdose. Enlisting the",GenderTerms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,wife,"bourgeois tom, Lola Falana as his 'slutty' wife) in favor of the militant character played by Kotto",GenderTerms
agry,000812465,Alliance for Guidance of Rural Youth records,title,Miss,"her children Student at Methodist Settlement School at Kingdom Come Miss Whittaker Miss Whittaker Little girl at Kingdom Come, with",GenderTerms
