eadid,bibnumber,collection_title,match_type,match_term,context_snippet,match_rule
abbot,002878457,Abbot Family papers,notes,racial,letter to W.R. Abbot from a student describing inter-racial violence in Mississippi. A letter-book in William,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,Racial,": Executive Director, Legal Director, Legislative Director, Racial Justice Fellow, Paralegal, and Office Manager. The",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,racial,of expression (including desecration of the flag); racial inequalities and injustices; reproductive rights; women's rights,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,racial,'s work on immigration and immigrant rights (such as racial profiling at driver checkpoints and english-only legislation),RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,"one-legged Marvel, Steve Reynolds, and 30 Colored Cowboys. Produced in the All-Colored City of",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,"and 30 Colored Cowboys. Produced in the All-Colored City of Boley, Okla. An Epic of Wild Life",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,"Epic of Wild Life and Smoking Revolvers. All-Colored Cast. Contains an article by star Anita Bush,",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Negro,"This press book insert was especially prepared for placement in Negro newspapers. Yaphet Kotto. Bogle II, p. 233",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Negro,press book had a separate advertising campaign specifically designated for Negro newspapers. [See previous entry] All original materials,RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,racial,where it appears he does not have to contend with racial biases) or should he return to the States to,RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,". Romance in Southern Seas featuring Stella Mayo, Sensational Colored Screen Beauty. All-Colored Cast, contains a",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,"Stella Mayo, Sensational Colored Screen Beauty. All-Colored Cast, contains a detailed list of proposed upcoming production",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,and text emphasizing that Norman is the only Company making Colored Pictures that owns and operates its own studio and laboratory,RaceEuphemisms
agry,000812465,Alliance for Guidance of Rural Youth records,notes,colored,", and are glued to original 11x14 inch cream-colored window mats with paper hinges, a few of which",RaceEuphemisms
alstonroland,009277534,Roland Alston family papers,notes,colored,"-and-white and 5 color (one hand colored) uncaptioned photographs, including individual and group portraits,",RaceEuphemisms
americancatalin,004198474,American Catalin Corporation salesman's sample book,notes,colored,"N.Y., in 1927; it developed the light-colored, transparent, filler-free Bakelite resin in a",RaceEuphemisms
americancolonyslides,006148577,American Colony lantern slides of biblical lands,notes,colored,"set of sixty-six commercially produced, hand-colored lantern slides, featuring photographic images taken in the early",RaceEuphemisms
americansforimmigrantjustice,004941636,Americans For Immigrant Justice records,notes,racial,them. Notes on US citizens unlawfully detained due to racial profiling and assumptions they are undocumented. Includes the case,RaceEuphemisms
americanslaverydocs,002779193,American slavery documents collection,notes,negro,"sale for ""seven hundred dollars in full for one negro boy named Leander"" from N.C. Trowbridge to E.H. Simmons",RaceEuphemisms
andersonwilliamj,006259962,William J. Anderson photographs and papers,notes,racism,"early interest in photography there. Motivated by concerns for racism and inequality in the United States, Anderson's first",RaceEuphemisms
andrewsj,003309383,Jesse Pyrant Andrews photographs and oral histories,notes,colored,or four day process. The result is dark-colored leaves and a strong smoky taste when the tobacco is,RaceEuphemisms
ashleymarydowdell,005995468,Mary Dowdell Ashley film collection,notes,colored,"checkered blue & white shirt), then Mother in colored sleeveless dress with boat in background; back of Daddy",RaceEuphemisms
ashleymarydowdell,005995468,Mary Dowdell Ashley film collection,notes,colored,is skiing; beach: Rusty Seawell in multi-colored straw hat; Ginny ? in black suit skiing;,RaceEuphemisms
ashleymarydowdell,005995468,Mary Dowdell Ashley film collection,notes,colored,& blouse) & Ann (orangish top & light colored skirt); 2 Mexican males in front of them,RaceEuphemisms
ashleymarydowdell,005995468,Mary Dowdell Ashley film collection,notes,colored,of Chapel -- think see Ann & Ginny in light colored dresses; Chapel; Shap (with glasses) in,RaceEuphemisms
ashleymarydowdell,005995468,Mary Dowdell Ashley film collection,notes,colored,sunglasses in water with Dow; Ann in multi-colored suit holding Patrick (?); Ginny? in,RaceEuphemisms
ashleymarydowdell,005995468,Mary Dowdell Ashley film collection,notes,colored,"pier, Boots Ashley (Sharman) in multi-colored shirt walking up steps from beach; Daddy carrying inner",RaceEuphemisms
baileyjw,000842399,Josiah William Bailey papers,notes,Negro,to hold its circus at the same time as a Negro Fair sponsored by the N. C. Industrial Corporation which was,RaceEuphemisms
baileyjw,000842399,Josiah William Bailey papers,notes,Racial,for lists of 1928 Democratic state convention delegates; and Racial and Religious Prejudices). Includes correspondence concerning reorganization of,RaceEuphemisms
baileyjw,000842399,Josiah William Bailey papers,notes,racial,one subject were placed in this section. Information on racial issues is also found here. Correspondents include major state,RaceEuphemisms
bakerfrank,002472286,Frank Baker papers,notes,colored,", and illustrations of individuals and scenes, including a colored engraving of ""The Wooly-Headed Boy"" from",RaceEuphemisms
