eadid,bibnumber,collection_title,match_type,match_term,context_snippet,match_rule
abbot,002878457,Abbot Family papers,notes,racial,letter to W.R. Abbot from a student describing inter-racial violence in Mississippi. A letter-book in William,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,Racial,": Executive Director, Legal Director, Legislative Director, Racial Justice Fellow, Paralegal, and Office Manager. The",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,racial,of expression (including desecration of the flag); racial inequalities and injustices; reproductive rights; women's rights,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,racial,'s work on immigration and immigrant rights (such as racial profiling at driver checkpoints and english-only legislation),RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,race relations,wars (and drafts) Equality before the law (race relations and minorities) Education Employment Housing Voting rights Private organizational,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,", 1986-1993 Race, 1991-1994 (Racial Justice Act, affirmative action, and                   reparations)",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"parks, etc.) Publications, articles, NCCLU Racial discrimination Raleigh Chapter Real property Religious Requests for briefs Rights",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"Conscientious objection Gender discrimination Freedom of press Housing discrimination, racial discrimination Residency-election Prisoner's rights, illegal detention",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"Imprisonment for nonpayment of fines and court costs Conscientious objection Racial discrimination Disturbing the peace Inquisition case, freedom of speech",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"Long hair in schools Discriminatory enforcement Right to counsel, racial discrimination Freedom of speech, academic freedom Power of convening",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"schools Illegal dismissal Grand jury selection, due process, racial discrimination, prisoners'                   rights: Affidavits Correspondence Memoranda",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,and statements) Illegal imprisonment Conscientious objection Case subject unknown Racial discrimination against whites Denial of admission to NC State University,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,children Property settlement Double jeopardy False arrest Wrongful termination Redisctricting Racial discrimination Inability to pay filing fee for political office candidacy,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"composition NCSU religious non-solicitation The Charlotte Three, racial discrimination Citizens Against Nuclear Power Selling newspapers at a public",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"Socialist Wrongful termination, 1st amendment Wrongful termination Child neglect Racial discrimination Unlawful imprisonment Censorship Declined request for assistance Request for",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,", religious discrimination Unlawful imprisonment Unlawful imprisonment, habeas corpus Racial discrimination, seat numbering law Prisoner treatment, rape Malpractice",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"mentally ill"" Alleged rape Discrimination by beauty shop, racial discrimination Prisoner treatment Medicare claims UNC-C, policy",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"bombing of                   black-owned business during time of racial tension, 1981-1982 Guilty plea involuntary due to",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"-1982 False arrest and abuse, 1979-1981 Racial discrimination in children's homes, 1979-1981 Prisoners",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,",                   1981-1983 Sued for blowing whistle on racial discrimination by apartment complex,                   1983 Support of state",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,of right to effective counsel NC obscenity statute Blood tests Racial discrimination in jury selection Sodomy laws Indigent defense Prenatal conduct,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,medical care in prison Unlawful search and seizure Charges of racial discrimination Robeson County Clerk: sharing information over the phone,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,phone Fayetteville: voting rights Chronic insomnia Greenfield Inn: racial discrimination Bertie County: voting rights Prisoner with Vitiligo forced,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"rally Death-row inmate stabbed, charge of neglect Racial exclusion in juries Prisoner's rights Police misconduct Prisoner,",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"juries Prisoner's rights Police misconduct Prisoner, medical malpractice Racial Classification Waynesville sign ordinance NCD.O.T. eye testing policy Nutrition,",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,counsel Questions about a capital trial Treatment of service maladies Racial discrimination Domestic rights Religious clothing in prison Student stripped searched,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,'s Syndrome Child support case Prejudiced judge East Carolina University racial incident Sentencing involved discrimination over HIV status Insurance cancellation Held,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"in jail without probable cause Sexual discrimination 1990s Cases Files Racial profiling, 1990 Due process, 1990 Due process,",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"of emergency services                   coordinator, 1990 Accused rapist denied racial balance on grand jury, 1988-1989 Prisoners'",RaceEuphemisms
