oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids
15363821,740477,2.01901E+13," Ascention (Ship), creator. ","Ascention insurance account, 1793.",1 item.,summary,slaves,"value of the ship Ascention and its cargo including 52 slaves. Apparently, the ship was lost in the slaves",HateBaseFull
15363821,740477,2.01901E+13," Ascention (Ship), creator. ","Ascention insurance account, 1793.",1 item.,summary,slaves,"value of the ship Ascention and its cargo including 52 slaves. Apparently, the ship was lost in the slaves",SlaveryTerms
15363821,740477,2.01901E+13," Ascention (Ship), creator. ","Ascention insurance account, 1793.",1 item.,summary,slaves,"slaves. Apparently, the ship was lost in the slaves' insurrection in 1793. Information was gathered for the",HateBaseFull
15363821,740477,2.01901E+13," Ascention (Ship), creator. ","Ascention insurance account, 1793.",1 item.,summary,slaves,"slaves. Apparently, the ship was lost in the slaves' insurrection in 1793. Information was gathered for the",SlaveryTerms
15363868,740480,2.01205E+13," Parks, Mary C., active 1827. ","Mary C. Parks journals, 1827-1878, bulk 1827.",4 items.,summary,Indians,an account of a meeting with a group of Osage Indians that were visiting there. Other entries describe the local,RaceTerms
15370813,740861,2.01902E+13," Matthews, J. B. (Joseph Brown), 1894-1966, http://id.loc.gov/authorities/names/n85353684 creator. ","J. B. Matthews papers, 1862-1986, bulk 1930-1969.",479 linear feet,bionote,prominent,"missionary, college professor, author, lecturer, and prominent conservative spokesman.",Aggrandizement
15370838,740862,1.98703E+13," Crane and Conley (Montgomery, Ala.) ","Daybook, 1834-1841 bulk 1834-1838.",1 item (204 p.),summary,Prominent,"M. Qiimby and E. B. Crane of Newwark, N.J. Prominent customers included Albert Pickett, William Sayre, and Peyton",Aggrandizement
15476976,741861,1.98704E+13," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,slaves,"at Millwood, Clarke Co., Va. Includes shoes for slaves and occasional entries for labor and slave hiring. Prominent",HateBaseFull
15476976,741861,1.98704E+13," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,slaves,"at Millwood, Clarke Co., Va. Includes shoes for slaves and occasional entries for labor and slave hiring. Prominent",SlaveryTerms
15476976,741861,1.98704E+13," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,slave,Includes shoes for slaves and occasional entries for labor and slave hiring. Prominent customers include William Meade (1789-,HateBaseFull
15476976,741861,1.98704E+13," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,slave,Includes shoes for slaves and occasional entries for labor and slave hiring. Prominent customers include William Meade (1789-,SlaveryTerms
15476976,741861,1.98704E+13," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,Prominent,slaves and occasional entries for labor and slave hiring. Prominent customers include William Meade (1789-1862) and,Aggrandizement
15477081,741867,1.98704E+13," Alderman, Jacob O. ","Papers, 1884-1906.",29 items.,summary,wife,"correspondence, 1889-1906, between Alderman and his wife, Mary M. Alderman. Letters mention family and church",GenderTerms
