oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids
15363821,000740477,20190109115046.0," Ascention (Ship), creator. ","Ascention insurance account, 1793.",1 item.,summary,slaves,"Account detailing the value of the ship Ascention and its cargo including 52 slaves. Apparently, the ship was lost in the slaves' insurrection in 1793. Information was gathered for the purpose of collecting insurance. The ship was on a voyage to Madagascar on the South coast of Africa and ultimately to Newport, R.I.",SlaveryTerms
15363821,000740477,20190109115046.0," Ascention (Ship), creator. ","Ascention insurance account, 1793.",1 item.,summary,slaves,"Account detailing the value of the ship Ascention and its cargo including 52 slaves. Apparently, the ship was lost in the slaves' insurrection in 1793. Information was gathered for the purpose of collecting insurance. The ship was on a voyage to Madagascar on the South coast of Africa and ultimately to Newport, R.I.",SlaveryTerms
15363868,000740480,20120501091907.0," Parks, Mary C., active 1827. ","Mary C. Parks journals, 1827-1878, bulk 1827.",4 items.,summary,Indians,"Journals (1827-July-1832 Jan. 20) in the form of diary entries and extracts from letters, written principally while the author was travelling with family and friends in France, Switzerland, and Germany between July and October, 1827. The bulk of the entries are written from Paris and include an account of a meeting with a group of Osage Indians that were visiting there. Other entries describe the local landscape, history, folklore, and customs of the various places visited. There are numerous color and pencil drawings that illustrate the text. Also includes one letter (1878 Oct. 10) and a clipping.",RaceTerms
15370813,000740861,20190208100719.0," Matthews, J. B. (Joseph Brown), 1894-1966, http://id.loc.gov/authorities/names/n85353684 creator. ","J. B. Matthews papers, 1862-1986, bulk 1930-1969.",479 linear feet,bionote,prominent,"Methodist missionary, college professor, author, lecturer, and prominent conservative spokesman.",Aggrandizement
15370838,000740862,19870326000000.0," Crane and Conley (Montgomery, Ala.) ","Daybook, 1834-1841 bulk 1834-1838.",1 item (204 p.),summary,Prominent,"Daybook (1834 June-1841 May), principally through May 1838, recording sales and repairs of a variety of carriages, coaches, buggies, and wagons. The owners were S. E. Crane and M. J. Conley. There was extensive business with James M. Qiimby and E. B. Crane of Newwark, N.J. Prominent customers included Albert Pickett, William Sayre, and Peyton Bibb.",Aggrandizement
15476976,000741861,19870402000000.0," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,slaves,"Ledger No. 3 (ff. 10-211) recording extensive tanning, saddlery, and shoemaking business at Millwood, Clarke Co., Va. Includes shoes for slaves and occasional entries for labor and slave hiring. Prominent customers include William Meade (1789-1862) and members of the Burwell, Page, and Byrd families. Numberous notes and receipts laid in the volume include a house construction account.",SlaveryTerms
15476976,000741861,19870402000000.0," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,slave,"Ledger No. 3 (ff. 10-211) recording extensive tanning, saddlery, and shoemaking business at Millwood, Clarke Co., Va. Includes shoes for slaves and occasional entries for labor and slave hiring. Prominent customers include William Meade (1789-1862) and members of the Burwell, Page, and Byrd families. Numberous notes and receipts laid in the volume include a house construction account.",SlaveryTerms
15476976,000741861,19870402000000.0," Tuley, Joseph, 1796-1860. ","Ledger, 1810-1829.",32 items.,summary,Prominent,"Ledger No. 3 (ff. 10-211) recording extensive tanning, saddlery, and shoemaking business at Millwood, Clarke Co., Va. Includes shoes for slaves and occasional entries for labor and slave hiring. Prominent customers include William Meade (1789-1862) and members of the Burwell, Page, and Byrd families. Numberous notes and receipts laid in the volume include a house construction account.",Aggrandizement
15477081,000741867,19870402000000.0," Alderman, Jacob O. ","Papers, 1884-1906.",29 items.,summary,wife,"Chiefly correspondence, 1889-1906, between Alderman and his wife, Mary M. Alderman. Letters mention family and church topics and were written from various locations in North Carolina, including Cooper, Raleigh, Dunn, Durham, Hendersonville, Concord, Graham, Hillsboro, Edenton, and Durham. Included also is a brief journal for July 1904, which Alderman sent to his wife.",GenderTerms
15477081,000741867,19870402000000.0," Alderman, Jacob O. ","Papers, 1884-1906.",29 items.,summary,wife,"Chiefly correspondence, 1889-1906, between Alderman and his wife, Mary M. Alderman. Letters mention family and church topics and were written from various locations in North Carolina, including Cooper, Raleigh, Dunn, Durham, Hendersonville, Concord, Graham, Hillsboro, Edenton, and Durham. Included also is a brief journal for July 1904, which Alderman sent to his wife.",GenderTerms
15480697,000741956,20190315161823.0," Carlton, John L., http://id.loc.gov/authorities/names/n83159942 creator. ","John L. Carlton papers, 1847-1848.",5 items.,summary,anti-slavery,"Chiefly letters from George Gilman Fogg and James Peverly in Concord, N.H., to Carlton in Bath, N.H., relating to New Hampshire politics. Primary among their concerns were the 1847 election of Jared Warner Williams, a Democrat, as governor of New Hampshire and of others whom they refer to as the ""Hunkers."" The letters reflect a strong anti-slavery sentiment and mention publications they believe would be supportive of their beliefs on slavery as well as other issues.",SlaveryTerms
15480697,000741956,20190315161823.0," Carlton, John L., http://id.loc.gov/authorities/names/n83159942 creator. ","John L. Carlton papers, 1847-1848.",5 items.,summary,slavery,"Chiefly letters from George Gilman Fogg and James Peverly in Concord, N.H., to Carlton in Bath, N.H., relating to New Hampshire politics. Primary among their concerns were the 1847 election of Jared Warner Williams, a Democrat, as governor of New Hampshire and of others whom they refer to as the ""Hunkers."" The letters reflect a strong anti-slavery sentiment and mention publications they believe would be supportive of their beliefs on slavery as well as other issues.",SlaveryTerms
15480697,000741956,20190315161823.0," Carlton, John L., http://id.loc.gov/authorities/names/n83159942 creator. ","John L. Carlton papers, 1847-1848.",5 items.,summary,slavery,"Chiefly letters from George Gilman Fogg and James Peverly in Concord, N.H., to Carlton in Bath, N.H., relating to New Hampshire politics. Primary among their concerns were the 1847 election of Jared Warner Williams, a Democrat, as governor of New Hampshire and of others whom they refer to as the ""Hunkers."" The letters reflect a strong anti-slavery sentiment and mention publications they believe would be supportive of their beliefs on slavery as well as other issues.",SlaveryTerms
