oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids
16447914,000760976,20091001165117.0," Hancock, Gordon Blaine, 1884-1970. http://id.loc.gov/authorities/names/n77015281 ","Gordon Blaine Hancock Papers, 1928-1970.",525 items.,summary,Negro,"photocopied newsclippings from his syndicated weekly column for the Associated Negro Press, ""Between the Lines."" Also includes",RaceEuphemisms
17368601,000784985,20130917114137.0," Ball, W. W. (William Watts), 1868-1952. http://id.loc.gov/authorities/names/n88172085 ","William Watts Ball papers, 1778-1952.","26,966 items.",summary,Negro,"discussion of politics, the South Carolina textile industry, Negro problems, the depression and the F.D. Roosevelt administration,",RaceEuphemisms
17979568,000805540,20210202144729.0," Marney, Carlyle, 1916-1978. http://id.loc.gov/authorities/names/n50040756 ","Carlyle Marney papers, 1899-1979 and undated, bulk 1958-1978.","Approx. 45,000 items (58.0 linear ft.)",summary,race relations,"century Southern religious community in the face of war, race relations, and prejudice; modern societies in general; rural",RaceEuphemisms
18219168,000813440,20170801144819.0," Cox, Earnest Sevier, http://id.loc.gov/authorities/names/n85224100 creator. ","Earnest Sevier Cox papers, 1821-1973, 1900-1964 (bulk).","13,000 items.",summary,Negro,"the Peace Movement of Ethiopia; Marcus Garvey, Universal Negro Improvement Association; Benjamin Gibbons, Universal African Nationalist Movement",RaceEuphemisms
18219168,000813440,20170801144819.0," Cox, Earnest Sevier, http://id.loc.gov/authorities/names/n85224100 creator. ","Earnest Sevier Cox papers, 1821-1973, 1900-1964 (bulk).","13,000 items.",summary,Racial,"John Powell and W.A. Plecker, who promoted the Virginia Racial Integrity Law of 1924; and others including S.A. Davis",RaceEuphemisms
18219168,000813440,20170801144819.0," Cox, Earnest Sevier, http://id.loc.gov/authorities/names/n85224100 creator. ","Earnest Sevier Cox papers, 1821-1973, 1900-1964 (bulk).","13,000 items.",bionote,Racial,,RaceEuphemisms
18666401,000828720,20181204112051.0," Women-in-Action for the Prevention of Violence and Its Causes, Inc. Durham Chapter (Durham, N.C.) http://id.loc.gov/authorities/names/n88127855 ","Women-in-Action for the Prevention of Violence and Its Causes, Inc. Durham Chapter records, 1968-1981, (bulk 1968-1972).",20.7 linear feet.,summary,racial,"Durham community on a variety of issues, including easing racial tensions; smoothing the way for court ordered school integration",RaceEuphemisms
18666401,000828720,20181204112051.0," Women-in-Action for the Prevention of Violence and Its Causes, Inc. Durham Chapter (Durham, N.C.) http://id.loc.gov/authorities/names/n88127855 ","Women-in-Action for the Prevention of Violence and Its Causes, Inc. Durham Chapter records, 1968-1981, (bulk 1968-1972).",20.7 linear feet.,bionote,racial,,RaceEuphemisms
19104969,000842326,20190109115841.0," Allston, Benjamin, 1833-1900, creator. ","Benjamin Allston papers, 1856-1878.",13 items.,summary,Negro,"the desirability of reserving a portion of church auditoriums for Negro worshipers, and several letters from female correspondents. Also",RaceEuphemisms
19308428,000847110,20171214153948.0, Bullock (Family) ,"Bullock family papers, 1784-1940s and undated.",Approximately 1200 items.,summary,racial,Fourteen photographs added at a later date represent bi-racial descendants of this family who lived in Nutbush and Manson,RaceEuphemisms
19312887,000847127,20130530082818.0," Brookes, Iveson L., 1793-1865. http://id.loc.gov/authorities/names/n88222257 ","Iveson L. Brookes papers, 1831-1888.",1.5 linear feet (720 items),summary,race relations,"wartime economic problems; mining near Potosi, Missouri; race relations in marriage and religion; politics in South Carolina in",RaceEuphemisms
19316870,000847143,20130530150923.0," Brown, William Garrott, 1868-1913. http://id.loc.gov/authorities/names/n50039692 ","William Garrott Brown papers, 1898-1917.","2.0 linear feet (1,013 items)",summary,race relations,"Edward Mandell House Papers, Yale University. These concern race relations and Woodrow Wilson's presidential campaign, 1912.",RaceEuphemisms
