eadid,bib_number,collection_title,match_count,match_type,match_phrase,snippet
<<<<<<< HEAD
adcouncil,002528803,Advertising Council records,2,title_match,Negro,"-1968, 1972-1976 and undated United Negro College Fund, 1972-1987 and undated United Service"
adcouncil,002528803,Advertising Council records,2,title_match,Negro,"1948-1958 United America, 1948-1949 United Negro College Fund, 1978 United Service Organizations (USO)"
africa,002388073,Leroy T. Walker Africa News Service Archive,3,title_match,Negro,Action Committee National Council for Black Studies National Council of Negro Women National Democratic Institute for Interational Affairs National Education Association
africa,002388073,Leroy T. Walker Africa News Service Archive,3,title_match,Anti-Slavery,    Africa All Faiths for One Race (AFFOR) Anti-Slavery Society British Council of Churches Center for International Briefing Europe
africa,002388073,Leroy T. Walker Africa News Service Archive,3,title_match,Slavery,All Faiths for One Race (AFFOR) Anti-Slavery Society British Council of Churches Center for International Briefing Europe
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",3,note_match,Negro,"This press book insert was especially prepared for placement in Negro newspapers.', ""Yaphet Kotto. Bogle II"
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",3,note_match,Negro,"press book had a separate advertising campaign specifically designated for Negro newspapers. [See previous entry]"", '"
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",3,note_match,slave owner,"partner (Gossett) in one slave town to one simpleton slave owner after another. After each sale, Gossett quickly escapes,"
=======
adcouncil,002528803,Advertising Council records,2,title_match,Negro,"-1968, 1972-1976 and                      undated United Negro College Fund, 1972-1987 and undated United Service"
adcouncil,002528803,Advertising Council records,2,title_match,Negro,"1948-1958 United America, 1948-1949 United Negro College Fund, 1978 United Service Organizations (USO)"
africa,002388073,Leroy T. Walker Africa News Service Archive,3,title_match,Negro,Action Committee National Council for Black Studies National Council of Negro Women National Democratic Institute for Interational Affairs National Education Association
africa,002388073,Leroy T. Walker Africa News Service Archive,3,title_match,Anti-Slavery,                           Africa All Faiths for One Race (AFFOR) Anti-Slavery Society British Council of Churches Center for International Briefing Europe
africa,002388073,Leroy T. Walker Africa News Service Archive,3,title_match,Slavery,All Faiths for One Race (AFFOR) Anti-Slavery Society British Council of Churches Center for International Briefing Europe
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",3,note_match,Negro,"This press book insert was especially prepared for\n placement in Negro newspapers.', ""Yaphet Kotto. Bogle II"
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",3,note_match,Negro,"press book had a separate advertising campaign specifically\n designated for Negro newspapers. [See previous\n entry]"", '"
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",3,note_match,slave owner,"partner (Gossett)\n in one slave town to one simpleton slave owner after another. After each sale,\n Gossett quickly escapes,"
>>>>>>> 17730f9e608de1a5c931968e1b4a1cdd0bb406dc
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",1,title_match,Slaves,". Slaughter's Big Rip-Off, 1973. Slaves, The, 1969. Slender Thread, The,"
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"undated National Work Conference on Veteran's Education, 1946 Negro education [original title], 1931-1946 Negro"
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"Negro education [original title], 1931-1946 Negro nurses [original title], 1935-1944 Negro"
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"Negro nurses [original title], 1935-1944 Negro occupations [original title], 1928-1942,"
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"[original title], 1928-1942, undated Negro vocational guidance [original title], 1930-1938"
<<<<<<< HEAD
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"original title], 1930-1938, undated Negro youth [original title], 1937-1940 North"
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"data compilations, circa 1935 Subject Files Series. Negro occupations [original title], 1928-1942,"
ahstephens,000875820,Alexander H. Stephens papers,3,note_match,slavery,"1823-1839: Topics include States' Rights, slavery, and an Indian war in Florida [possibly the"
ahstephens,000875820,Alexander H. Stephens papers,3,note_match,slaves,"Dorr and the People\'s Party, the purchasing of slaves, the 1843 Boston visit of President John Tyler and"
ahstephens,000875820,Alexander H. Stephens papers,3,note_match,slaves,"Jordan, both of whom were not only brothers but slaves as well. The letter is likely written by someone"
aitkenfamily,008297039,Aitken family letter and will,1,note_match,slaves,"his plans to obtain a plantation and purchase or hire slaves, preparations for war with Great Britain, and payment"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"and Richard Henry Lee, Sr. Documents pertain to slaves; maps and surveys of leased land; and loan"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,bill of sale,in the Lee family papers include loan indentures; a bill of sale for cotton to the Confederate government; two cartes-
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"Lee, Jr., discussing the sale of his sister's slaves; and a letter from Robert Edward Lee to Samuel"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"Lee's sister and the sale of her servants [slaves]. Lee writes, I feel great reluctance to"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,Lee's sister and the sale of her servants [slaves]. Lee also lists the names of his children
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"The suspects are Joe, Sam, and Pendoe, slaves belonging to George West. Authorized and [signed]"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,freedman,"Newspaper clipping recounting the burial of Robert Damell,    freedman and private in the U.S. Army's Ninth and Tenth"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,Bill of sale,"of General Order no. 9, 1865 April 10 Bill of sale for Lee's 64 bales of cotton to the Confederate"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,negro,", and John    Carroll, as owner, of negro Jesse, 1796    December 19 Oversize Materials Series Civil"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,slaves,Lee and others as Justices in the trial of      slaves who have committed capital crimes in the Dominion of Virginia
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,slaves,Lee and others as Justices in the trial of      slaves who have committed capital crimes in the Dominion of Virginia
allang,000842410,Allen-Angier family papers,1,note_match,slavery,"of May 10, 1970, is a petition against slavery by the Baptist Church of Augusta, Maine, dated"
allen,001582405,Gay Wilson Allen papers,2,title_match,Slavery,", undated Rise, Lurid Stars, undated Slavery, 1860? Some 'Leaves of Grass,"
allen,001582405,Gay Wilson Allen papers,2,title_match,Negro,M. Moore Mystics National Literature 1837-1855 Nature Naturalism Negro Neurotic Personality New York Review New York Times Niebuhr Nietzsche
alligooddouglass,005857152,Douglass L. Alligood papers,2,title_match,Negro,"Publications, 1989 Hispanics and Network Television, 2003 Negro Media Analysis for Chrysler Motors Corporation, 1963 Pepsi-"
